"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1826539285857587412""","GCSE pass rate across England, Wales and Northern Ireland falls for third year running - with 67.6% of grades marked at 4/C or above https://t.co/DwKA0XG1BB","Tweet","BBC Breaking News","BBCBreaking","22/8/2024, 2:07:55 pm","146","80","45","336","381759","25","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1826539285857587412","","","https://bbc.in/4cDG9iz"
"=""1826516867843870790""","Hundreds of thousands of students in England, Wales and Northern Ireland are getting their GCSE and BTec Tech Award results - follow live https://t.co/RHf9XHdPs6","Tweet","BBC Breaking News","BBCBreaking","22/8/2024, 12:38:50 pm","76","31","12","168","303886","11","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1826516867843870790","","","https://bbc.in/4fUoqWQ"
"=""1826429436595454209""","Bill Clinton and Tim Walz to take Democratic convention stage, with reports Oprah Winfrey could appear 

Watch and follow live https://t.co/u3xhR1vDEU","Tweet","BBC Breaking News","BBCBreaking","22/8/2024, 6:51:25 am","117","44","7","231","288907","11","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1826429436595454209","","","https://bbc.in/4cGETuN"
"=""1826395529368014866""","Democratic vice-presidential nominee Tim Walz, Bill Clinton and Nancy Pelosi to speak on third night of party convention - follow live https://t.co/FDuvnp3fRE","Tweet","BBC Breaking News","BBCBreaking","22/8/2024, 4:36:41 am","100","39","4","239","282946","7","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1826395529368014866","","","https://bbc.in/3MdmGdN"
"=""1826295865847271884""","Man dies after being attacked by his own XL bully dog at home in Accrington, UK https://t.co/Md6VchI9JW","Tweet","BBC Breaking News","BBCBreaking","21/8/2024, 10:00:40 pm","603","356","286","2298","3320587","181","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1826295865847271884","","","https://bbc.in/3MeHLV7"
"=""1826280094236618882""","Victims who died in house fire in Bradford, UK, named by police as Bryonie Gawith, 29, and children Denisty, nine, Oscar, five and 22-month-old Aubree Birtle
 
Read more: https://t.co/DrMkkCdvd5","Tweet","BBC Breaking News","BBCBreaking","21/8/2024, 8:57:59 pm","114","48","15","220","260997","17","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1826280094236618882","","","https://bbc.in/3MeHiSY"
"=""1826255297016393909""","Divers have found two bodies inside the wreck of luxury yacht that sank off Sicily, reports say
https://t.co/ZjW5Hql0b0","Tweet","BBC Breaking News","BBCBreaking","21/8/2024, 7:19:27 pm","60","70","3","235","263864","17","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1826255297016393909","","","https://bbc.in/3XcDHek"
"=""1826245597147381815""","Authorities in Pakistan have arrested a man on suspicion of cyber terrorism, in relation to disinformation thought to have fuelled UK unrest https://t.co/cicHLDbUM4","Tweet","BBC Breaking News","BBCBreaking","21/8/2024, 6:40:55 pm","1","83","10","234","216684","18","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1826245597147381815","","","https://bbc.in/3XdOjJK"
"=""1826245895345615287""","Update: This article originally reported that police in Pakistan had told the BBC that Farhan Asif had been charged with cyber terrorism. The police have since confirmed that he is under arrest but has not been charged and we have updated our article to make that clear.","Reply","BBC Breaking News","BBCBreaking","21/8/2024, 6:42:06 pm","0","33","6","147","184337","12","en","No","Twitter Web App","","https://x.com/BBCBreaking/status/1826245895345615287","","",""
"=""1826219295187017854""","Four people, including three children, die in house fire in Bradford, UK, as man arrested on suspicion of murder
https://t.co/vkZRrZVlDg","Tweet","BBC Breaking News","BBCBreaking","21/8/2024, 4:56:24 pm","1","99","49","279","325717","18","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1826219295187017854","","","https://bbc.in/3WMsPCw"
"=""1826162194091737176""","BBC presenter Lauren Laverne says she has been diagnosed with cancer and expects to make a full recovery https://t.co/QChqJSzEqL","Tweet","BBC Breaking News","BBCBreaking","21/8/2024, 1:09:30 pm","136","82","35","867","358060","23","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1826162194091737176","","","https://bbc.in/3SZ3N1T"
"=""1826126547498979596""","Twenty-eight killed after bus carrying Pakistani pilgrims overturns in Iran, state media reports https://t.co/d2rfxDsd2m","Tweet","BBC Breaking News","BBCBreaking","21/8/2024, 10:47:51 am","74","74","4","222","268288","14","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1826126547498979596","","","https://bbc.in/3Xa3RhU"
"=""1826087207188258819""","Watch live as Michelle and Barack Obama give headline speeches on second night of Democratic National Convention https://t.co/XmyAVnQ0pR","Tweet","BBC Breaking News","BBCBreaking","21/8/2024, 8:11:31 am","115","46","3","277","287448","7","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1826087207188258819","","","https://bbc.in/4dMuq1Y"
"=""1826052249052668313""","Jennifer Lopez files for divorce from Ben Affleck after two years of marriage https://t.co/3rxtKC4SlR","Tweet","BBC Breaking News","BBCBreaking","21/8/2024, 5:52:37 am","253","130","70","474","404791","26","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1826052249052668313","","","https://bbc.in/4duuHHf"
"=""1825925098177450340""","Body of man recovered near Sicily yacht believed to be that of Canadian-Antiguan chef Recaldo Thomas
 
Follow live: https://t.co/rZMbPxBdfa","Tweet","BBC Breaking News","BBCBreaking","20/8/2024, 9:27:22 pm","96","76","5","240","261836","14","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1825925098177450340","","","https://bbc.in/3X9i0fg"
"=""1825878463275831345""","Divers searching for six missing on sunken yacht off Sicily struggle to reach cabins with ""world of objects"" blocking way

Follow live: https://t.co/Ihl3POVqS5","Tweet","BBC Breaking News","BBCBreaking","20/8/2024, 6:22:03 pm","76","60","11","226","336585","10","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1825878463275831345","","","https://bbc.in/3SRSVmA"
"=""1825875130402095532""","King Charles arrives in Southport where he will meet survivors of deadly knife attack 

Live updates: https://t.co/AkJexkXstp","Tweet","BBC Breaking News","BBCBreaking","20/8/2024, 6:08:48 pm","0","39","18","304","288627","9","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1825875130402095532","","","https://bbc.in/4dPh6d9"
"=""1825796831734862200""","The bodies of six hostages held in Gaza have been retrieved from the Khan Younis area, Israel's military says https://t.co/6ejx4Jreww","Tweet","BBC Breaking News","BBCBreaking","20/8/2024, 12:57:41 pm","147","165","11","518","292560","20","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1825796831734862200","","","https://bbc.in/4dtQXRp"
"=""1825737766132428991""","Watch live as tearful Joe Biden takes stage at Democratic convention and ""passes torch"" to Kamala Harris https://t.co/vrtxcJQJua","Tweet","BBC Breaking News","BBCBreaking","20/8/2024, 9:02:58 am","120","77","5","415","319576","10","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1825737766132428991","","","https://bbc.in/3SWLD0O"
"=""1825705233969819866""","Kamala Harris says Democrats 'forever grateful' to Joe Biden before he gives farewell speech at party convention

Follow live https://t.co/eKXJ6MiFxi","Tweet","BBC Breaking News","BBCBreaking","20/8/2024, 6:53:42 am","69","66","6","432","299721","15","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1825705233969819866","","","https://bbc.in/3yB5ETN"
